S/N,customer ID,Sex,Lga,Sen. Zone,Amount Granted,Principal Balance,Date Granted,Expiry Date,Principal paid,Interest paid,Principal past due,Interest past due,Paid amount,Balance,Total amount to be paid,Percentage
145,loan145,Male,EGOR,EDO SOUTH,"150,000.00","150,000.00",17/06/2022,16/06/2023,0.00,0.00,,,0.00,"163,500.00","163,500.00",0.00
146,loan146,Male,ETSAKO WEST,EDO NORTH,"100,000.00","92,532.87",13/07/2022,12/07/2023,"7,467.13","3,032.87","33,097.70","2,268.49","10,500.00","98,500.00","109,000.00",9.63
147,loan147,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
148,loan148,Female,OWAN EAST,EDO NORTH,"200,000.00","200,000.00",04/07/2022,03/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
149,loan149,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
150,loan150,Male,ETSAKO WEST,EDO NORTH,"500,000.00","458,333.33",05/08/2022,04/08/2023,"41,666.67","34,833.33","458,333.33","40,166.68","76,500.00","468,500.00","545,000.00",14.04
151,loan151,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","266,012.33",07/04/2022,06/04/2023,"33,987.67","4,512.33","25,000.00","1,012.33","38,500.00","288,500.00","327,000.00",11.77
152,loan152,Female,EGOR,EDO SOUTH,"200,000.00","200,000.00",06/04/2022,05/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
153,loan153,Male,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
154,loan154,Female,OREDO,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
155,loan155,Male,AKOKO-EDO,EDO NORTH,"200,000.00","194,016.44",17/06/2022,16/06/2023,"5,983.56","6,016.44","65,146.13","4,536.99","12,000.00","206,000.00","218,000.00",5.50
156,loan156,Female,AKOKO-EDO,EDO NORTH,"200,000.00","200,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
157,loan157,Male,AKOKO-EDO,EDO NORTH,"100,000.00","98,239.73",17/06/2022,16/06/2023,"1,760.27",739.73,0.00,0.00,"2,500.00","106,500.00","109,000.00",2.29
158,loan158,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",30/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
159,loan159,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
160,loan160,Male,ETSAKO WEST,EDO NORTH,"150,000.00","150,000.00",13/07/2022,12/07/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
161,loan161,Female,ESAN WEST,EDO CENTRAL,"400,000.00","400,000.00",05/07/2022,04/07/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
162,loan162,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
163,loan163,Male,EGOR,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
164,loan164,Male,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
165,loan165,Female,ESAN CENTRAL,EDO CENTRAL,"150,000.00","149,896.58",05/07/2022,04/07/2023,103.42,"1,146.58",0.00,0.00,"1,250.00","162,250.00","163,500.00",0.76
166,loan166,Female,OREDO,EDO SOUTH,"400,000.00",0.00,04/04/2022,03/04/2023,"400,000.00","35,999.95","400,000.00","34,999.95","435,999.95",0.05,"436,000.00",100.00
167,loan167,Female,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",04/07/2022,03/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
168,loan168,Male,ESAN NORTH-EAST,EDO CENTRAL,"300,000.00","300,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
169,loan169,Female,ESAN NORTH-EAST,EDO CENTRAL,"300,000.00","300,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
170,loan170,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
171,loan171,Male,OWAN EAST,EDO NORTH,"100,000.00","75,000.01",23/06/2022,22/06/2023,"24,999.99","2,500.01",0.00,0.00,"27,500.00","81,500.00","109,000.00",25.23
172,loan172,Male,OVIA SOUTH-WEST,EDO SOUTH,"500,000.00","145,759.91",23/05/2022,01/08/2023,"354,240.09","45,123.30","214,417.44","11,342.47","399,363.39","145,636.61","545,000.00",73.28
173,loan173,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
174,loan174,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
175,loan175,Female,UHUNMWONDE,EDO SOUTH,"400,000.00","39,999.95",29/06/2022,27/06/2023,"360,000.05","35,999.95","110,606.79","5,819.17","396,000.00","40,000.00","436,000.00",90.83
176,loan176,Female,OWAN WEST,EDO NORTH,"150,000.00","150,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
177,loan177,Male,ESAN SOUTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
178,loan178,Male,OWAN WEST,EDO NORTH,"150,000.00","149,896.58",06/07/2022,05/07/2023,103.42,"1,146.58",0.00,0.00,"1,250.00","162,250.00","163,500.00",0.76
179,loan179,Female,ORHIONMWON,EDO SOUTH,"300,000.00","300,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"327,000.00","327,000.00",0.00
180,loan180,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","182,008.22",08/04/2022,07/04/2023,"17,991.78","3,008.22","33,333.34","2,008.22","21,000.00","197,000.00","218,000.00",9.63
181,loan181,Male,ESAN WEST,EDO CENTRAL,"500,000.00","500,000.00",11/04/2022,10/04/2023,0.00,"2,500.00",0.00,0.00,"2,500.00","542,500.00","545,000.00",0.46
182,loan182,Male,AKOKO-EDO,EDO NORTH,"500,000.00","500,000.00",13/07/2022,07/07/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
183,loan183,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
184,loan184,Female,ESAN CENTRAL,EDO CENTRAL,"200,000.00","200,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
185,loan185,Female,ETSAKO EAST,EDO NORTH,"200,000.00","200,000.00",09/09/2022,08/09/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
186,loan186,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","149,553.43",05/04/2022,03/04/2023,"50,446.57","10,553.43","99,211.90","3,008.22","61,000.00","157,000.00","218,000.00",27.98
187,loan187,Male,ETSAKO WEST,EDO NORTH,"300,000.00","300,000.00",07/04/2022,05/04/2023,0.00,0.00,,,0.00,"327,000.00","327,000.00",0.00
188,loan188,Male,AKOKO-EDO,EDO NORTH,"500,000.00","500,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
189,loan189,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","459,500.01",05/07/2022,04/07/2023,"40,499.99","45,000.01","500,000.00","43,500.01","85,500.00","459,500.00","545,000.00",15.69
190,loan190,Female,AKOKO-EDO,EDO NORTH,"400,000.00","143,799.95",23/06/2022,22/06/2023,"256,200.05","35,999.95","171,449.26","8,876.70","292,200.00","143,800.00","436,000.00",67.02
191,loan191,Male,ETSAKO CENTRAL,EDO NORTH,"500,000.00","500,000.00",05/07/2022,04/07/2023,0.00,"6,000.00","125,000.01","10,342.47","6,000.00","539,000.00","545,000.00",1.10
192,loan192,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
193,loan193,Male,ESAN WEST,EDO CENTRAL,"100,000.00","99,239.73",29/06/2022,28/06/2023,760.27,739.73,0.00,0.00,"1,500.00","107,500.00","109,000.00",1.38
194,loan194,Female,EGOR,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
195,loan195,Female,OREDO,EDO SOUTH,"334,780.00","334,780.00",13/12/2022,12/12/2023,0.00,"1,008.30",0.00,0.00,"1,008.30","363,901.90","364,910.20",0.28
196,loan196,Female,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",06/07/2022,05/07/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
197,loan197,Male,ESAN WEST,EDO CENTRAL,"100,000.00","99,239.73",30/06/2022,28/06/2023,760.27,739.73,0.00,0.00,"1,500.00","107,500.00","109,000.00",1.38
198,loan198,Male,ETSAKO WEST,EDO NORTH,"100,000.00","99,764.38",13/07/2022,12/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
199,loan199,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",12/09/2022,08/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
200,loan200,Male,OWAN EAST,EDO NORTH,"150,000.00","150,000.00",12/08/2022,11/08/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
201,loan201,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","63,000.00",07/04/2022,05/04/2023,"237,000.00","27,000.00","106,342.47","4,364.38","264,000.00","63,000.00","327,000.00",80.73
202,loan202,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",13/04/2022,12/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
203,loan203,Female,ETSAKO CENTRAL,EDO NORTH,"300,000.00","9,000.00",07/04/2022,06/04/2023,"291,000.00","27,000.00","77,049.32","6,657.53","318,000.00","9,000.00","327,000.00",97.25
204,loan204,Female,EGOR,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
205,loan205,Male,OREDO,EDO SOUTH,"400,000.00","187,249.95",06/04/2022,05/04/2023,"212,750.05","35,999.95","292,340.39","20,909.56","248,750.00","187,250.00","436,000.00",57.05
206,loan206,Male,OWAN EAST,EDO NORTH,"150,000.00","150,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
207,loan207,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
208,loan208,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
209,loan209,Male,ETSAKO EAST,EDO NORTH,"200,000.00","183,333.33",17/06/2022,15/06/2023,"16,666.67","2,333.33",0.00,0.00,"19,000.00","199,000.00","218,000.00",8.72
210,loan210,Male,OVIA NORTH-EAST,EDO SOUTH,"100,000.00","99,739.73",23/06/2022,22/06/2023,260.27,739.73,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
211,loan211,Female,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
212,loan212,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
213,loan213,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","94,504.11",22/08/2022,21/08/2023,"5,495.89","1,504.11","16,431.04",739.73,"7,000.00","102,000.00","109,000.00",6.42
214,loan214,Male,OREDO,EDO SOUTH,"500,000.00","500,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
215,loan215,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,04/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
216,loan216,Female,ETSAKO EAST,EDO NORTH,"200,000.00","200,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
217,loan217,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
218,loan218,Male,AKOKO-EDO,EDO NORTH,"500,000.00","500,000.00",21/06/2022,20/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
219,loan219,Female,ETSAKO EAST,EDO NORTH,"200,000.00","181,008.22",17/06/2022,15/06/2023,"18,991.78","3,008.22",0.00,0.00,"22,000.00","196,000.00","218,000.00",10.09
220,loan220,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",22/08/2022,21/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
221,loan221,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","111,000.00",07/04/2022,06/04/2023,"189,000.00","27,000.00","224,524.66","17,975.34","216,000.00","111,000.00","327,000.00",66.06
222,loan222,Female,UHUNMWONDE,EDO SOUTH,"100,000.00","99,764.38",14/07/2022,13/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
223,loan223,Male,IKPOBA OKHA,EDO SOUTH,"500,000.00","499,000.00",08/04/2022,07/04/2023,"1,000.00",0.00,0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
224,loan224,Female,IGUEBEN,EDO CENTRAL,"400,000.00","400,000.00",09/12/2022,07/12/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
225,loan225,Female,OREDO,EDO SOUTH,"200,000.00","101,832.88",05/04/2022,04/04/2023,"98,167.12","12,032.88","51,891.35","1,528.77","110,200.00","107,800.00","218,000.00",50.55
226,loan226,Male,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
227,loan227,Male,ESAN WEST,EDO CENTRAL,"200,000.00","183,008.22",05/04/2022,04/04/2023,"16,991.78","3,008.22","32,812.79","1,528.77","20,000.00","198,000.00","218,000.00",9.17
228,loan228,Male,ETSAKO WEST,EDO NORTH,"200,000.00","151,045.21",13/07/2022,12/07/2023,"48,954.79","7,545.21","49,870.34","3,008.22","56,500.00","161,500.00","218,000.00",25.92
229,loan229,Male,ETSAKO WEST,EDO NORTH,"100,000.00","100,000.00",13/07/2022,12/07/2023,0.00,500.00,0.00,0.00,500.00,"108,500.00","109,000.00",0.46
230,loan230,Male,AKOKO-EDO,EDO NORTH,"200,000.00","200,000.00",27/06/2022,26/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
231,loan231,Male,OREDO,EDO SOUTH,"200,000.00","188,345.21",07/04/2022,05/04/2023,"11,654.79","7,545.21","83,333.35","6,545.21","19,200.00","198,800.00","218,000.00",8.81
232,loan232,Male,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",22/04/2022,24/05/2023,0.00,"1,000.35",0.00,0.00,"1,000.35","543,999.65","545,000.00",0.18
233,loan233,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",15/12/2022,14/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
234,loan234,Female,EGOR,EDO SOUTH,"500,000.00","500,000.00",14/09/2022,11/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
235,loan235,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
236,loan236,Female,OREDO,EDO SOUTH,"150,000.00","4,360.04",05/04/2022,04/04/2023,"145,639.96","13,500.04","149,369.59","12,390.45","159,140.00","4,360.00","163,500.00",97.33
237,loan237,Female,OREDO,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,04/04/2023,"217,000.00",250.00,0.00,0.00,"217,250.00",750.00,"218,000.00",99.66
238,loan238,Female,ESAN SOUTH-EAST,EDO CENTRAL,"150,000.00","150,000.00",29/08/2022,28/08/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
239,loan239,Female,UHUNMWONDE,EDO SOUTH,"100,000.00","99,764.38",08/07/2022,07/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
240,loan240,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",14/04/2022,13/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
241,loan241,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",09/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
242,loan242,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,18/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
243,loan243,Female,UHUNMWONDE,EDO SOUTH,"150,000.00","150,000.00",07/07/2022,06/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
244,loan244,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
245,loan245,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,11/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
246,loan246,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
247,loan247,Female,EGOR,EDO SOUTH,"500,000.00","497,315.07",19/09/2022,18/09/2023,"2,684.93","22,315.07","250,000.02","22,315.07","25,000.00","520,000.00","545,000.00",4.59
248,loan248,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
249,loan249,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",09/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
250,loan250,Male,UHUNMWONDE,EDO SOUTH,"400,000.00","400,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
251,loan251,Male,AKOKO-EDO,EDO NORTH,"300,000.00","300,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
252,loan252,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"6,000.00","83,333.35","7,545.21","6,000.00","212,000.00","218,000.00",2.75
253,loan253,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
254,loan254,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",20/12/2022,19/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
255,loan255,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",20/12/2022,19/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
256,loan256,Male,EGOR,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
257,loan257,Female,ETSAKO EAST,EDO NORTH,"200,000.00","89,471.24",17/06/2022,15/06/2023,"110,528.76","16,471.24","120,886.80","5,917.81","127,000.00","91,000.00","218,000.00",58.26
258,loan258,Male,ESAN WEST,EDO CENTRAL,"200,000.00","199,479.45",05/04/2022,04/04/2023,520.55,"1,479.45",0.00,0.00,"2,000.00","216,000.00","218,000.00",0.92
259,loan259,Male,EGOR,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,02/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
260,loan260,Male,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",06/07/2022,05/07/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
261,loan261,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",20/12/2022,19/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
262,loan262,Male,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",11/04/2022,10/04/2023,0.00,"2,500.00",0.00,0.00,"2,500.00","542,500.00","545,000.00",0.46
263,loan263,Male,ESAN SOUTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
264,loan264,Female,OREDO,EDO SOUTH,"400,000.00","361,749.95",05/04/2022,04/04/2023,"38,250.05","35,999.95","369,815.72","11,934.23","74,250.00","361,750.00","436,000.00",17.03
265,loan265,Female,OWAN WEST,EDO NORTH,"400,000.00","400,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
266,loan266,Female,EGOR,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
267,loan267,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","150,721.24",05/04/2022,03/04/2023,"49,278.76","16,471.24","146,608.03","7,446.58","65,750.00","152,250.00","218,000.00",30.16
268,loan268,Female,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
269,loan269,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,04/04/2023,0.00,750.00,0.00,0.00,750.00,"217,250.00","218,000.00",0.34
270,loan270,Male,OREDO,EDO SOUTH,"200,000.00",0.00,04/04/2022,03/04/2023,"200,000.00","18,000.01","83,333.35","6,545.21","218,000.01",-0.01,"218,000.00",100.00
271,loan271,Male,UHUNMWONDE,EDO SOUTH,"300,000.00","151,030.14",04/04/2022,03/04/2023,"148,969.86","15,830.14","51,212.33","2,219.18","164,800.00","162,200.00","327,000.00",50.40
272,loan272,Male,OREDO,EDO SOUTH,"300,000.00","178,630.14",04/04/2022,03/04/2023,"121,369.86","15,830.14","175,000.00","14,330.14","137,200.00","189,800.00","327,000.00",41.96
273,loan273,Female,ETSAKO WEST,EDO NORTH,"150,000.00","106,799.33",13/07/2022,12/07/2023,"43,200.67","4,549.33",0.00,0.00,"47,750.00","115,750.00","163,500.00",29.20
274,loan274,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",29/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
275,loan275,Male,UHUNMWONDE,EDO SOUTH,"100,000.00","100,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"109,000.00","109,000.00",0.00
276,loan276,Female,UHUNMWONDE,EDO SOUTH,"100,000.00","100,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"109,000.00","109,000.00",0.00
277,loan277,Male,OREDO,EDO SOUTH,"200,000.00","154,953.43",21/06/2022,20/06/2023,"45,046.57","10,553.43","85,283.13","4,536.99","55,600.00","162,400.00","218,000.00",25.50
278,loan278,Female,OREDO,EDO SOUTH,"150,000.00","112,750.04",21/06/2022,20/06/2023,"37,249.96","13,500.04","150,000.00","12,750.04","50,750.00","112,750.00","163,500.00",31.04
279,loan279,Male,EGOR,EDO SOUTH,"200,000.00","168,024.66",05/04/2022,03/04/2023,"31,975.34","9,024.66","86,545.23","1,479.45","41,000.00","177,000.00","218,000.00",18.81
280,loan280,Male,IGUEBEN,EDO CENTRAL,"100,000.00","66,872.60",25/07/2022,24/07/2023,"33,127.40","3,772.60","16,928.75",739.73,"36,900.00","72,100.00","109,000.00",33.85
281,loan281,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","168,616.44",05/04/2022,03/04/2023,"31,383.56","6,016.44","50,474.90","3,008.22","37,400.00","180,600.00","218,000.00",17.16
282,loan282,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",14/04/2022,13/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
283,loan283,Female,OREDO,EDO SOUTH,"500,000.00","496,198.63",12/09/2022,08/09/2023,"3,801.37","3,698.63",0.00,0.00,"7,500.00","537,500.00","545,000.00",1.38
284,loan284,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",04/07/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
285,loan285,Male,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
286,loan286,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",12/09/2022,08/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
